id,subscriber_type,registration_date,age,income,location,is_fraud,IMEI,device_switch_count,fraud_probability,predicted_fraud,classification
1,prepaid,2023-07-28,27,38891,rural,0,484441492443135,1,0.0007449971,0,Legitimate
2,postpaid,2023-07-03,67,55470,rural,0,228282323229364,0,0.021652624,0,Legitimate
3,prepaid,2023-11-21,47,50818,rural,0,480351980487068,2,1.0968372e-10,0,Legitimate
4,prepaid,2023-09-02,38,26837,urban,1,810355214138878,1,5.650601e-06,0,Legitimate
5,postpaid,2023-12-21,27,77396,urban,1,769388732196134,3,1.8756828e-12,0,Legitimate
6,prepaid,2023-10-05,62,60014,urban,0,511433370089795,1,6.433044e-08,0,Legitimate
7,postpaid,2023-06-02,26,85825,rural,0,441537716541359,5,0.65425783,1,Fraud
8,postpaid,2023-10-11,23,72235,rural,1,462265108114678,2,2.851137e-08,0,Legitimate
9,prepaid,2023-08-08,50,58082,rural,0,262104031838168,6,0.0001676916,0,Legitimate
10,postpaid,2023-06-05,50,48688,urban,0,844600151274769,1,0.5710244,1,Fraud
